Pass 0 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 12   	6         	1         	85.7      	4.5       	1507.6    	1         	2         
  Team 14   	5         	2         	71.4      	4.1       	1505.1    	2         	3         
  Team 16   	4         	3         	57.1      	4.5       	1507.8    	3         	1         
  Team 06   	4         	3         	57.1      	3.6       	1500.8    	3         	4         
  Team 10   	4         	3         	57.1      	3.4       	1499.3    	3         	5         
  Team 02   	3         	4         	42.9      	3.0       	1496.2    	6         	6         
  Team 08   	2         	5         	28.6      	2.8       	1494.0    	7         	7         
  Team 04   	0         	7         	0.0       	2.1       	1489.1    	8         	8         
Pass 1 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	9         	5         	64.3      	8.2       	1509.0    	1         	1         
  Team 10   	9         	5         	64.3      	7.7       	1505.8    	1         	2         
  Team 14   	9         	5         	64.3      	7.3       	1502.3    	1         	4         
  Team 06   	8         	6         	57.1      	7.7       	1505.6    	4         	3         
  Team 12   	8         	6         	57.1      	7.3       	1501.9    	4         	5         
  Team 08   	6         	8         	42.9      	6.7       	1497.6    	6         	6         
  Team 02   	5         	9         	35.7      	5.7       	1490.0    	7         	7         
  Team 04   	2         	12        	14.3      	5.4       	1488.0    	8         	8         
Pass 2 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 06   	14        	7         	66.7      	12.6      	1516.3    	1         	1         
  Team 16   	14        	7         	66.7      	12.6      	1515.5    	1         	2         
  Team 12   	13        	8         	61.9      	10.9      	1502.3    	3         	3         
  Team 10   	13        	8         	61.9      	10.8      	1501.8    	3         	4         
  Team 14   	12        	9         	57.1      	10.7      	1501.1    	5         	5         
  Team 02   	8         	13        	38.1      	9.4       	1492.0    	6         	7         
  Team 08   	7         	14        	33.3      	9.6       	1493.7    	7         	6         
  Team 04   	3         	18        	14.3      	7.5       	1477.2    	8         	8         
Pass 3 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	20        	8         	71.4      	17.2      	1523.8    	1         	1         
  Team 06   	19        	9         	67.9      	17.0      	1522.3    	2         	2         
  Team 10   	18        	10        	64.3      	15.1      	1508.4    	3         	3         
  Team 12   	16        	12        	57.1      	13.6      	1496.0    	4         	5         
  Team 14   	14        	14        	50.0      	13.8      	1497.7    	5         	4         
  Team 02   	12        	16        	42.9      	12.9      	1492.6    	6         	6         
  Team 08   	9         	19        	32.1      	12.7      	1490.2    	7         	7         
  Team 04   	4         	24        	14.3      	9.8       	1469.0    	8         	8         
Pass 4 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 06   	24        	11        	68.6      	21.3      	1527.6    	1         	1         
  Team 16   	24        	11        	68.6      	21.1      	1525.1    	1         	2         
  Team 10   	24        	11        	68.6      	19.4      	1514.2    	1         	3         
  Team 12   	20        	15        	57.1      	17.1      	1496.4    	4         	5         
  Team 14   	17        	18        	48.6      	17.3      	1498.1    	5         	4         
  Team 02   	14        	21        	40.0      	16.0      	1489.7    	6         	6         
  Team 08   	11        	24        	31.4      	15.5      	1485.2    	7         	7         
  Team 04   	6         	29        	17.1      	12.4      	1463.7    	8         	8         
Pass 5 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	28        	14        	66.7      	25.1      	1528.1    	1         	1         
  Team 10   	27        	15        	64.3      	23.1      	1514.9    	2         	3         
  Team 06   	25        	17        	59.5      	24.4      	1522.5    	3         	2         
  Team 12   	25        	17        	59.5      	20.9      	1498.7    	3         	5         
  Team 14   	24        	18        	57.1      	22.3      	1510.0    	5         	4         
  Team 08   	15        	27        	35.7      	19.4      	1489.9    	6         	6         
  Team 02   	15        	27        	35.7      	18.0      	1478.1    	6         	7         
  Team 04   	9         	33        	21.4      	14.9      	1457.9    	8         	8         
Pass 6 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	32        	17        	65.3      	29.2      	1531.0    	1         	1         
  Team 12   	31        	18        	63.3      	25.0      	1503.6    	2         	5         
  Team 14   	29        	20        	59.2      	26.5      	1515.3    	3         	3         
  Team 10   	29        	20        	59.2      	26.0      	1509.6    	3         	4         
  Team 06   	28        	21        	57.1      	27.9      	1521.2    	5         	2         
  Team 08   	20        	29        	40.8      	23.3      	1493.6    	6         	6         
  Team 02   	17        	32        	34.7      	21.1      	1476.8    	7         	7         
  Team 04   	10        	39        	20.4      	16.9      	1448.8    	8         	8         
Pass 7 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	36        	20        	64.3      	32.3      	1526.1    	1         	1         
  Team 12   	35        	21        	62.5      	28.6      	1504.5    	2         	5         
  Team 10   	34        	22        	60.7      	30.3      	1514.8    	3         	4         
  Team 14   	33        	23        	58.9      	30.8      	1520.9    	4         	2         
  Team 06   	31        	25        	55.4      	31.3      	1519.6    	5         	3         
  Team 08   	24        	32        	42.9      	27.0      	1495.7    	6         	6         
  Team 02   	19        	37        	33.9      	24.0      	1473.1    	7         	7         
  Team 04   	12        	44        	21.4      	19.6      	1445.2    	8         	8         
Pass 8 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	41        	22        	65.1      	36.7      	1531.6    	1         	1         
  Team 12   	39        	24        	61.9      	32.2      	1504.5    	2         	5         
  Team 14   	37        	26        	58.7      	35.0      	1524.9    	3         	2         
  Team 06   	36        	27        	57.1      	34.9      	1519.0    	4         	3         
  Team 10   	36        	27        	57.1      	33.5      	1512.0    	4         	4         
  Team 08   	29        	34        	46.0      	31.1      	1500.4    	6         	6         
  Team 02   	21        	42        	33.3      	26.1      	1463.4    	7         	7         
  Team 04   	13        	50        	20.6      	22.5      	1444.1    	8         	8         
Pass 9 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	44        	26        	62.9      	39.7      	1525.7    	1         	2         
  Team 12   	44        	26        	62.9      	37.2      	1516.5    	1         	3         
  Team 06   	41        	29        	58.6      	39.8      	1529.1    	3         	1         
  Team 10   	41        	29        	58.6      	37.6      	1515.6    	3         	4         
  Team 14   	38        	32        	54.3      	36.9      	1510.6    	5         	5         
  Team 08   	33        	37        	47.1      	34.8      	1501.8    	6         	6         
  Team 02   	24        	46        	34.3      	28.8      	1459.4    	7         	7         
  Team 04   	15        	55        	21.4      	25.2      	1441.4    	8         	8         
Pass 10 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	48        	29        	62.3      	43.3      	1524.4    	1         	2         
  Team 10   	46        	31        	59.7      	41.6      	1518.7    	2         	3         
  Team 12   	46        	31        	59.7      	39.8      	1508.1    	2         	5         
  Team 06   	45        	32        	58.4      	44.1      	1533.8    	4         	1         
  Team 14   	42        	35        	54.5      	41.1      	1515.3    	5         	4         
  Team 08   	36        	41        	46.8      	37.8      	1497.7    	6         	6         
  Team 02   	27        	50        	35.1      	32.0      	1459.4    	7         	7         
  Team 04   	18        	59        	23.4      	28.5      	1442.7    	8         	8         
Pass 11 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	53        	31        	63.1      	46.8      	1522.9    	1         	2         
  Team 12   	51        	33        	60.7      	44.1      	1514.2    	2         	5         
  Team 10   	50        	34        	59.5      	45.7      	1522.9    	3         	3         
  Team 06   	48        	36        	57.1      	47.4      	1529.8    	4         	1         
  Team 14   	48        	36        	57.1      	45.5      	1522.1    	4         	4         
  Team 08   	39        	45        	46.4      	41.1      	1496.7    	6         	6         
  Team 02   	28        	56        	33.3      	34.2      	1451.9    	7         	7         
  Team 04   	19        	65        	22.6      	31.1      	1439.6    	8         	8         
Pass 12 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	58        	33        	63.7      	50.4      	1522.4    	1         	3         
  Team 12   	56        	35        	61.5      	48.9      	1524.0    	2         	2         
  Team 10   	54        	37        	59.3      	48.7      	1517.2    	3         	5         
  Team 06   	53        	38        	58.2      	52.0      	1537.2    	4         	1         
  Team 14   	52        	39        	57.1      	48.9      	1519.7    	5         	4         
  Team 08   	42        	49        	46.2      	44.9      	1499.3    	6         	6         
  Team 02   	30        	61        	33.0      	36.9      	1448.2    	7         	7         
  Team 04   	19        	72        	20.9      	33.2      	1432.0    	8         	8         
Pass 13 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	61        	37        	62.2      	54.7      	1527.4    	1         	2         
  Team 12   	60        	38        	61.2      	52.2      	1520.7    	2         	4         
  Team 10   	58        	40        	59.2      	52.9      	1521.8    	3         	3         
  Team 06   	57        	41        	58.2      	55.7      	1536.4    	4         	1         
  Team 14   	57        	41        	58.2      	52.2      	1516.5    	4         	5         
  Team 08   	45        	53        	45.9      	48.4      	1499.2    	6         	6         
  Team 02   	32        	66        	32.7      	39.4      	1443.0    	7         	7         
  Team 04   	22        	76        	22.4      	36.6      	1435.0    	8         	8         
Pass 14 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	65        	40        	61.9      	58.8      	1531.2    	1         	1         
  Team 12   	65        	40        	61.9      	56.7      	1527.2    	1         	2         
  Team 10   	63        	42        	60.0      	57.2      	1526.8    	3         	3         
  Team 14   	62        	43        	59.0      	56.6      	1523.2    	4         	5         
  Team 06   	58        	47        	55.2      	58.2      	1525.7    	5         	4         
  Team 08   	50        	55        	47.6      	52.3      	1502.3    	6         	6         
  Team 02   	34        	71        	32.4      	41.9      	1438.4    	7         	7         
  Team 04   	23        	82        	21.9      	38.4      	1425.3    	8         	8         
Pass 15 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	71        	41        	63.4      	62.7      	1531.9    	1         	1         
  Team 12   	67        	45        	59.8      	59.7      	1522.2    	2         	3         
  Team 10   	65        	47        	58.0      	60.0      	1519.8    	3         	4         
  Team 14   	65        	47        	58.0      	59.5      	1516.5    	3         	5         
  Team 06   	63        	49        	56.2      	62.1      	1527.3    	5         	2         
  Team 08   	54        	58        	48.2      	56.6      	1508.9    	6         	6         
  Team 02   	37        	75        	33.0      	45.5      	1443.4    	7         	7         
  Team 04   	26        	86        	23.2      	41.9      	1430.1    	8         	8         
Pass 16 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	76        	43        	63.9      	66.4      	1532.0    	1         	1         
  Team 12   	72        	47        	60.5      	63.9      	1525.8    	2         	3         
  Team 10   	69        	50        	58.0      	63.8      	1520.7    	3         	4         
  Team 06   	67        	52        	56.3      	65.9      	1528.7    	4         	2         
  Team 14   	67        	52        	56.3      	62.4      	1510.8    	4         	5         
  Team 08   	57        	62        	47.9      	60.1      	1508.3    	6         	6         
  Team 02   	40        	79        	33.6      	48.9      	1445.7    	7         	7         
  Team 04   	28        	91        	23.5      	44.6      	1428.0    	8         	8         
Pass 17 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	80        	46        	63.5      	70.8      	1536.9    	1         	2         
  Team 12   	75        	51        	59.5      	67.1      	1521.9    	2         	4         
  Team 10   	74        	52        	58.7      	67.9      	1524.6    	3         	3         
  Team 06   	73        	53        	57.9      	70.7      	1537.3    	4         	1         
  Team 14   	70        	56        	55.6      	66.2      	1513.1    	5         	5         
  Team 08   	58        	68        	46.0      	62.2      	1496.7    	6         	6         
  Team 02   	43        	83        	34.1      	52.0      	1445.8    	7         	7         
  Team 04   	31        	95        	24.6      	47.0      	1423.8    	8         	8         
Pass 18 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	84        	49        	63.2      	75.1      	1540.9    	1         	1         
  Team 10   	80        	53        	60.2      	72.2      	1529.5    	2         	3         
  Team 12   	80        	53        	60.2      	70.6      	1521.2    	2         	4         
  Team 06   	77        	56        	57.9      	74.5      	1537.1    	4         	2         
  Team 14   	72        	61        	54.1      	69.3      	1508.8    	5         	5         
  Team 08   	61        	72        	45.9      	65.9      	1498.4    	6         	6         
  Team 02   	45        	88        	33.8      	55.1      	1446.0    	7         	7         
  Team 04   	33        	100       	24.8      	49.3      	1418.1    	8         	8         
Pass 19 Leaderboard:
  Team      	Wins      	Losses    	Win %     	Elo Points	Elo Rating	Win % Rank	Elo Rating Rank
  Team 16   	89        	51        	63.6      	79.1      	1542.7    	1         	1         
  Team 10   	86        	54        	61.4      	76.4      	1532.7    	2         	3         
  Team 06   	82        	58        	58.6      	78.7      	1540.3    	3         	2         
  Team 12   	82        	58        	58.6      	73.2      	1512.2    	3         	4         
  Team 14   	76        	64        	54.3      	73.0      	1510.1    	5         	5         
  Team 08   	63        	77        	45.0      	69.4      	1498.1    	6         	6         
  Team 02   	47        	93        	33.6      	57.9      	1444.1    	7         	7         
  Team 04   	35        	105       	25.0      	52.3      	1419.7    	8         	8         
Tournament Score:
  Team 16: 89 (79.10)
  Team 10: 86 (76.36)
  Team 06: 82 (78.67)
  Team 12: 82 (73.18)
  Team 14: 76 (73.03)
  Team 08: 63 (69.37)
  Team 02: 47 (57.93)
  Team 04: 35 (52.35)
Tournament Winner:
  Team 16
Elo Ratings:
  Team 16: 1542.7
  Team 06: 1540.3
  Team 10: 1532.7
  Team 12: 1512.2
  Team 14: 1510.1
  Team 08: 1498.1
  Team 02: 1444.1
  Team 04: 1419.7
